contest,pref_voter_id,serial_number,tally,precinct,vote_rank,candidate,over_vote,under_vote
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004778,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004778,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004778,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004779,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004779,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004779,0000001,Vote by Mail - 400C,200200,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004780,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004780,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004780,0000001,Vote by Mail - 400C,200200,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004781,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004781,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004781,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004782,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004782,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004782,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004783,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004783,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004783,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
