contest,pref_voter_id,serial_number,tally,precinct,vote_rank,candidate,over_vote,under_vote
"Member, City Council, Dist 4,Short Term - Berkeley",000007077,0000001,Election Day - 400C,201900,1,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007077,0000001,Election Day - 400C,201900,2,NA,0,1
"Member, City Council, Dist 4,Short Term - Berkeley",000007077,0000001,Election Day - 400C,201900,3,NA,0,1
"Member, City Council, Dist 4,Short Term - Berkeley",000007078,0000001,Election Day - 400C,201900,1,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007078,0000001,Election Day - 400C,201900,2,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007078,0000001,Election Day - 400C,201900,3,BEN GOULD,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007079,0000001,Election Day - 400C,201900,1,BEN GOULD,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007079,0000001,Election Day - 400C,201900,2,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007079,0000001,Election Day - 400C,201900,3,NA,0,1
"Member, City Council, Dist 4,Short Term - Berkeley",000007080,0000001,Election Day - 400C,201900,1,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007080,0000001,Election Day - 400C,201900,2,BEN GOULD,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007080,0000001,Election Day - 400C,201900,3,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007081,0000001,Election Day - 400C,201900,1,BEN GOULD,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007081,0000001,Election Day - 400C,201900,2,NA,0,1
"Member, City Council, Dist 4,Short Term - Berkeley",000007081,0000001,Election Day - 400C,201900,3,NA,0,1
"Member, City Council, Dist 4,Short Term - Berkeley",000007082,0000001,Election Day - 400C,201900,1,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007082,0000001,Election Day - 400C,201900,2,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007082,0000001,Election Day - 400C,201900,3,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007083,0000001,Election Day - 400C,201900,1,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007083,0000001,Election Day - 400C,201900,2,BEN GOULD,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007083,0000001,Election Day - 400C,201900,3,NA,0,1
"Member, City Council, Dist 4,Short Term - Berkeley",000007084,0000001,Election Day - 400C,201900,1,BEN GOULD,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007084,0000001,Election Day - 400C,201900,2,KATE HARRISON,0,0
"Member, City Council, Dist 4,Short Term - Berkeley",000007084,0000001,Election Day - 400C,201900,3,NA,0,1
"Member, City Council, Dist 4,Short Term - Berkeley",000007085,0000001,Election Day - 400C,201900,1,KATE HARRISON,0,0
