contest,pref_voter_id,serial_number,tally,precinct,vote_rank,candidate,over_vote,under_vote
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016500,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016500,0000004,Vote by Mail - 400C,208910,2,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016500,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016501,0000004,Vote by Mail - 400C,208910,1,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016501,0000004,Vote by Mail - 400C,208910,2,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016501,0000004,Vote by Mail - 400C,208910,3,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016502,0000004,Vote by Mail - 400C,208910,1,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016502,0000004,Vote by Mail - 400C,208910,2,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016502,0000004,Vote by Mail - 400C,208910,3,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016503,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016503,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016503,0000004,Vote by Mail - 400C,208910,3,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016504,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016504,0000004,Vote by Mail - 400C,208910,2,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016504,0000004,Vote by Mail - 400C,208910,3,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016505,0000004,Vote by Mail - 400C,208910,1,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016505,0000004,Vote by Mail - 400C,208910,2,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016505,0000004,Vote by Mail - 400C,208910,3,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016506,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016506,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016506,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016507,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016507,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016507,0000004,Vote by Mail - 400C,208910,3,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016508,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016508,0000004,Vote by Mail - 400C,208910,2,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016508,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016509,0000004,Vote by Mail - 400C,208910,1,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016509,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016509,0000004,Vote by Mail - 400C,208910,3,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016510,0000004,Vote by Mail - 400C,208910,1,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016510,0000004,Vote by Mail - 400C,208910,2,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016510,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016511,0000004,Vote by Mail - 400C,208910,1,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016511,0000004,Vote by Mail - 400C,208910,2,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016511,0000004,Vote by Mail - 400C,208910,3,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016512,0000004,Vote by Mail - 400C,208910,1,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016512,0000004,Vote by Mail - 400C,208910,2,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016512,0000004,Vote by Mail - 400C,208910,3,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016513,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016513,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016513,0000004,Vote by Mail - 400C,208910,3,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016514,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016514,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016514,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016515,0000004,Vote by Mail - 400C,208910,1,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016515,0000004,Vote by Mail - 400C,208910,2,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016515,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016516,0000004,Vote by Mail - 400C,208910,1,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016516,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016516,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016517,0000004,Vote by Mail - 400C,208910,1,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016517,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016517,0000004,Vote by Mail - 400C,208910,3,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016518,0000004,Vote by Mail - 400C,208910,1,DARRYL MOORE,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016518,0000004,Vote by Mail - 400C,208910,2,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016518,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016519,0000004,Vote by Mail - 400C,208910,1,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016519,0000004,Vote by Mail - 400C,208910,2,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016519,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016520,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016520,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016520,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016521,0000004,Vote by Mail - 400C,208910,1,"NANCI IRA ARMSTRONG-TEMPLE",0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016521,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016521,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016522,0000004,Vote by Mail - 400C,208910,1,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016522,0000004,Vote by Mail - 400C,208910,2,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016522,0000004,Vote by Mail - 400C,208910,3,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016523,0000004,Vote by Mail - 400C,208910,1,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016523,0000004,Vote by Mail - 400C,208910,2,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016523,0000004,Vote by Mail - 400C,208910,3,NA,0,1
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016524,0000004,Vote by Mail - 400C,208910,1,CHERYL DAVILA,0,0
"Member, City Council, Dist. 2 - Berkeley (RCV)",000016524,0000004,Vote by Mail - 400C,208910,2,DARRYL MOORE,0,0
